Al Pacino
Johnny Depp
Russell Crowe
Denzel Washington
Robert De Niro
Jack Nicholson
George Clooney
Morgan Freeman
Will Smith
Colin Farrell
Ralph Fiennes
Tom Cruise
Mark Wahlberg
Harrison Ford
Tommy Lee Jones
Robert Downey Jr.
Samuel L. Jackson
Christian Bale
Nicolas Cage
Pierce Brosnan
Bradley Cooper
Mel Gibson
Brad Pitt
Jason Statham
Forest Whitaker
Orlando Bloom
Martin Lawrence
Hugh Laurie
Vin Diesel
Gary Oldman
Antonio Banderas
Laurence Fishburne
Viggo Mortensen
Bruce Willis
Clint Eastwood
Jeremy Renner
Matt Damon
Leonardo DiCaprio
Alan Rickman
Anthony Hopkins
Heath Ledger
Paul Walker
Rutger Hauer
Wesley Snipes
Gene Hackman
Jim Carrey
Eddie Murphy
Don Cheadle
Sean Bean
Yasiin Bey
Jon Voight
Seth Green
Ed Harris
Sean Connery
Robert Redford
Omar Epps
Jackie Chan
Steven Seagal
Tom Hanks
Keanu Reeves
Edward Norton
Seann William Scott
Jason Biggs
Arnold Schwarzenegger
Liam Neeson
Michael Caine
Sylvester Stallone
John Travolta
Mark Harmon
Piet Römer
Kevin Spacey
Hugo Weaving
Geoffrey Rush
Joaquin Phoenix
Zach Galifianakis
Daniel Craig
Hugh Jackman
Jude Law
Robin Williams
Clive Owen
Willem Dafoe
Ben Foster
David Morse
Colin Firth
Owen Wilson
Ben Stiller
Robert Duvall
Joe Pesci
Danny Glover
Chris Rock
Jet Li
Josh Brolin
Mark Ruffalo
Max von Sydow
Justin Bartha
Harvey Keitel
Vince Vaughn
Woody Harrelson
Val Kilmer
Robbie Coltrane
